pH,EC,W_Temp,A_Temp,Humid,CO2,Light_on_off,Water_cooler,Air_Cooler,Air_Vent,Dehumidifier,Humidifier,Acid_Dozer,Base_Dozer,Nutrient_Dozer,Distilled_Water_Dozer,Binary,Decimal_Label
6.35,1.06,26.48,27.64,90.6,781,0,1,1,0,1,0,0,0,0,0,11010000,208
6.43,0.64,16.21,23.67,93.7,729,0,0,0,0,1,0,0,0,0,0,00010000,16
6.69,1.32,20.8,22.12,65.5,553,1,0,0,0,0,0,1,0,0,1,00000100,4
5.43,0.36,27.1,18.45,53.3,546,1,1,0,0,0,1,0,1,1,0,10001011,139
6.31,1.16,26.36,24.32,52.5,512,0,1,1,0,0,1,0,0,0,0,11001000,200
6.84,1.02,18.14,23.5,56.9,683,1,0,0,0,0,1,1,0,0,0,00001100,12
6.6,1.46,24.96,21.38,59.8,484,1,1,0,0,0,1,1,0,0,1,10001100,140
6.54,0.85,21.24,24.39,58.1,1041,0,0,1,1,0,1,1,0,0,0,01101100,108
5.91,1.43,27.96,26.37,69.3,602,0,1,1,0,0,0,0,0,0,1,11000000,192
6.15,1.36,16.18,22.36,62.5,393,0,0,0,0,0,0,0,0,0,1,00000000,0
6.44,0.74,20.04,22.0,87.4,314,1,0,0,0,1,0,0,0,0,0,00010000,16
5.62,1.08,18.61,16.43,63.3,407,1,0,0,0,0,0,0,1,0,0,00000010,2
6.12,1.11,27.32,16.38,53.6,838,0,1,0,0,0,1,0,0,0,0,10001000,136
5.84,0.96,20.89,26.68,92.3,866,0,0,1,0,1,0,0,0,0,0,01010000,80
6.55,0.46,20.8,23.45,77.5,421,0,0,0,0,0,0,1,0,1,0,00000101,5
6.62,0.6,25.24,16.42,82.8,870,0,1,0,0,1,0,1,0,0,0,10010100,148
6.78,0.42,26.68,19.19,79.6,567,1,1,0,0,0,0,1,0,1,0,10000101,133
5.92,1.48,21.68,26.18,54.0,349,1,0,1,0,0,1,0,0,0,1,01001000,72
6.61,1.1,23.49,21.9,87.7,402,0,1,0,0,1,0,1,0,0,0,10010100,148
6.24,0.83,17.0,21.75,62.6,679,0,0,0,0,0,0,0,0,0,0,00000000,0
6.4,0.95,26.32,24.31,78.3,828,0,1,1,0,0,0,0,0,0,0,11000000,192
6.29,0.9,19.36,27.77,71.6,505,0,0,1,0,0,0,0,0,0,0,01000000,64
6.07,0.76,24.28,23.86,70.6,763,1,1,0,0,0,0,0,0,0,0,10000000,128
5.44,1.33,25.02,21.23,56.5,1010,1,1,0,1,0,1,0,1,0,1,10101010,170
6.67,0.86,18.43,19.18,80.5,552,1,0,0,0,1,0,1,0,0,0,00010100,20
5.96,1.08,20.57,16.11,80.4,973,1,0,0,0,1,0,0,0,0,0,00010000,16
6.06,0.89,26.69,19.62,79.9,714,0,1,0,0,0,0,0,0,0,0,10000000,128
6.23,1.34,21.9,25.7,54.4,550,1,0,1,0,0,1,0,0,0,1,01001000,72
5.41,1.04,26.57,19.08,64.0,369,1,1,0,0,0,0,0,1,0,0,10000010,130
6.09,0.9,16.32,22.1,54.0,585,1,0,0,0,0,1,0,0,0,0,00001000,8
6.15,0.85,26.04,27.42,59.2,949,1,1,1,0,0,1,0,0,0,0,11001000,200
6.16,1.1,17.98,19.79,55.9,685,1,0,0,0,0,1,0,0,0,0,00001000,8
6.87,1.49,16.54,21.47,91.7,780,0,0,0,0,1,0,1,0,0,1,00010100,20
6.02,0.96,25.96,18.82,58.8,1093,1,1,0,1,0,1,0,0,0,0,10101000,168
5.51,0.87,22.78,17.27,80.6,605,1,1,0,0,1,0,0,1,0,0,10010010,146
6.59,0.64,21.27,24.24,61.6,353,1,0,1,0,0,0,1,0,0,0,01000100,68
5.78,0.36,25.12,17.24,71.7,830,0,1,0,0,0,0,0,1,1,0,10000011,131
6.27,1.33,24.07,19.67,82.4,640,1,1,0,0,1,0,0,0,0,1,10010000,144
6.54,0.46,23.71,23.45,55.4,430,1,1,0,0,0,1,1,0,1,0,10001101,141
5.74,0.84,23.74,18.75,79.0,971,0,1,0,0,0,0,0,1,0,0,10000010,130
6.31,0.36,26.38,26.36,87.3,832,0,1,1,0,1,0,0,0,1,0,11010001,209
5.87,0.39,18.4,22.87,61.0,348,1,0,0,0,0,0,0,0,1,0,00000001,1
6.71,0.44,25.68,18.96,54.8,431,0,1,0,0,0,1,1,0,1,0,10001101,141
5.75,1.06,24.88,20.42,84.8,744,1,1,0,0,1,0,0,1,0,0,10010010,146
6.58,0.46,24.62,19.82,50.2,769,0,1,0,0,0,1,1,0,1,0,10001101,141
5.62,0.71,18.11,27.08,52.7,999,0,0,1,0,0,1,0,1,0,0,01001010,74
6.26,1.48,16.56,23.88,86.9,1058,0,0,0,1,1,0,0,0,0,1,00110000,48
5.91,1.46,25.73,17.64,60.4,366,1,1,0,0,0,0,0,0,0,1,10000000,128
5.56,0.4,21.37,21.79,54.9,398,1,0,0,0,0,1,0,1,1,0,00001011,11
5.7,0.63,18.51,24.65,77.5,354,0,0,1,0,0,0,0,1,0,0,01000010,66
5.69,1.05,26.11,26.61,94.1,386,1,1,1,0,1,0,0,1,0,0,11010010,210
6.51,1.32,26.71,21.94,59.8,431,1,1,0,0,0,1,1,0,0,1,10001100,140
6.37,0.54,19.37,27.15,59.3,848,0,0,1,0,0,1,0,0,1,0,01001001,73
6.44,0.3,25.22,26.07,84.0,483,0,1,1,0,1,0,0,0,1,0,11010001,209
5.52,1.26,20.96,16.85,93.9,913,1,0,0,0,1,0,0,1,0,1,00010010,18
5.85,0.9,18.81,21.66,60.9,948,1,0,0,0,0,0,0,0,0,0,00000000,0
5.93,0.73,26.03,22.16,76.8,871,1,1,0,0,0,0,0,0,0,0,10000000,128
6.21,0.77,27.76,24.31,66.0,570,1,1,1,0,0,0,0,0,0,0,11000000,192
5.69,1.05,17.34,18.82,59.1,874,1,0,0,0,0,1,0,1,0,0,00001010,10
6.35,1.48,22.96,24.79,50.7,921,1,1,1,0,0,1,0,0,0,1,11001000,200
6.8,1.03,18.96,19.36,90.5,987,0,0,0,0,1,0,1,0,0,0,00010100,20
6.52,0.65,25.65,27.93,82.8,645,1,1,1,0,1,0,1,0,0,0,11010100,212
6.02,0.8,24.26,27.62,91.2,933,1,1,1,0,1,0,0,0,0,0,11010000,208
5.9,0.98,22.89,16.32,66.5,517,1,1,0,0,0,0,0,0,0,0,10000000,128
5.4,1.02,24.37,23.81,53.7,598,1,1,0,0,0,1,0,1,0,0,10001010,138
5.47,1.47,24.37,25.7,55.8,587,0,1,1,0,0,1,0,1,0,1,11001010,202
6.71,1.12,21.54,22.76,94.5,737,1,0,0,0,1,0,1,0,0,0,00010100,20
6.44,0.71,24.25,19.0,67.7,641,0,1,0,0,0,0,0,0,0,0,10000000,128
6.37,1.04,21.24,25.44,72.9,484,0,0,1,0,0,0,0,0,0,0,01000000,64
6.33,0.62,16.67,25.83,72.2,1003,1,0,1,1,0,0,0,0,0,0,01100000,96
6.6,0.55,21.91,21.76,79.4,410,1,0,0,0,0,0,1,0,1,0,00000101,5
6.24,0.55,26.74,27.66,60.9,390,1,1,1,0,0,0,0,0,1,0,11000001,193
5.72,1.22,21.86,26.01,93.5,1082,1,0,1,1,1,0,0,1,0,1,01110010,114
6.62,0.98,24.13,21.01,78.6,394,1,1,0,0,0,0,1,0,0,0,10000100,132
6.78,0.81,25.06,21.55,55.4,683,1,1,0,0,0,1,1,0,0,0,10001100,140
5.67,0.48,23.56,19.29,66.6,877,1,1,0,0,0,0,0,1,1,0,10000011,131
