candidate,profile,condition,days,difference_pp,low_pp,high_pp
durable_b0_poll,cpu_contention,available,10,0.0,0.0,0.0
durable_b0_poll,idle,available,10,0.0,0.0,0.0
durable_b0_poll,injected_delay_loss,available,10,97.61214230471771,95.60562393670277,99.00693855925856
durable_b0_poll,injected_delay_loss,contradictory,10,0.0,0.0,0.0
durable_b0_poll,injected_delay_loss,delayed_32,10,97.61214230471771,95.59071846133851,98.9261107742
durable_b0_poll,injected_delay_loss,unavailable,10,0.0,0.0,0.0
durable_b0_poll,injected_delay_loss,wrong_id,10,0.0,0.0,0.0
recovery_b16_deadline,cpu_contention,available,10,0.0,0.0,0.0
recovery_b16_deadline,idle,available,10,0.0,0.0,0.0
recovery_b16_deadline,injected_delay_loss,available,10,56.177494199535964,46.2946484954889,62.28281353965206
recovery_b16_deadline,injected_delay_loss,contradictory,10,0.0,0.0,0.0
recovery_b16_deadline,injected_delay_loss,delayed_32,10,56.177494199535964,46.77150163279328,62.399735092621185
recovery_b16_deadline,injected_delay_loss,unavailable,10,0.0,0.0,0.0
recovery_b16_deadline,injected_delay_loss,wrong_id,10,0.0,0.0,0.0
recovery_b16_poll,cpu_contention,available,10,0.0,0.0,0.0
recovery_b16_poll,idle,available,10,0.0,0.0,0.0
recovery_b16_poll,injected_delay_loss,available,10,47.41879350348028,46.01531013311679,48.54046349539335
recovery_b16_poll,injected_delay_loss,contradictory,10,0.0,0.0,0.0
recovery_b16_poll,injected_delay_loss,delayed_32,10,47.41879350348028,45.98184289213673,48.518923984711144
recovery_b16_poll,injected_delay_loss,unavailable,10,0.0,0.0,0.0
recovery_b16_poll,injected_delay_loss,wrong_id,10,0.0,0.0,0.0
recovery_b1_deadline,cpu_contention,available,10,0.0,0.0,0.0
recovery_b1_deadline,idle,available,10,0.0,0.0,0.0
recovery_b1_deadline,injected_delay_loss,available,10,94.70224284609435,92.21611518157712,96.65789980732177
recovery_b1_deadline,injected_delay_loss,contradictory,10,0.0,0.0,0.0
recovery_b1_deadline,injected_delay_loss,delayed_32,10,94.70224284609435,91.96344056053199,96.57368593657125
recovery_b1_deadline,injected_delay_loss,unavailable,10,0.0,0.0,0.0
recovery_b1_deadline,injected_delay_loss,wrong_id,10,0.0,0.0,0.0
